abrupt@	突然的;意外的
clan@	氏族;部落;家族
clasp@	扣子;鉤子;夾子;緊握;緊抱
clause@	(文件的)條款;子句
clover@	苜蓿
cluster@	串;簇;群
clutch@	爪子;手;掌握;攫取;離合器
coastline@	海岸線
cocoon@	繭
coil@	(一)捲;(一)圈;(一)匝;線圈
colleague@	同事,同僚
colonel@	陸軍上校
colonial@	殖民地居民
combat@	戰鬥;格鬥;反對
comedian@	喜劇演員
comet@	彗星
commentator@	(電臺、電視臺等)時事評論者
commission@	佣金
commodity@	商品;日用品
commonplace@	司空見慣的事;老生常談
communism@	共產主義
communist@	共產主義者
commuter@	通勤者
compact@	連鏡小粉盒;小型轎車
compass@	羅盤;指南針;圓規
compassion@	憐憫;同情
compliment@	恭維;問候;致意
compound@	混合物
comprehension@	理解;理解力
compromise@	妥協;危及;(原則等的)放棄
comrade@	夥伴;同事;(共產黨的)同志
conduct@	行為,品行,舉動
confession@	承認;供認;告解
consent@	同意;贊成
conserve@	糖漬食品,蜜餞;果醬
console@	操縱臺
constitutional@	保健散步;保健運動
contemporary@	同時代的人;同年齡的人;同時期的東西
contempt@	輕視;(對法庭等的)藐視
continuity@	連續性;一貫性
convict@	(服刑的)囚犯
copyright@	版權;著作權
coral@	珊瑚
corporation@	股份(有限)公司
correspondence@	一致;相對應;通信;(總稱)信件
corridor@	迴廊,通道
counsel@	商議;忠告;法律顧問
counselor@	顧問;(學生的)輔導員;律師
coupon@	回數票;減價優待券
courtyard@	庭院;天井
cracker@	(淡或鹹的)薄脆餅乾;鞭炮
crater@	火山口;巨大坑洞
creak@	咯吱咯吱聲
creek@	小河;溪
crib@	嬰兒床
crocodile@	鱷魚
crossing@	交叉;交叉點,橫穿;雜交
crouch@	蹲伏(姿勢)
crunch@	嘎吱吱(咬嚼)聲音;關鍵時刻
crystal@	水晶
cuisine@	烹飪(法);菜餚
curb@	人行道旁的水泥(或石)邊;抑制
currency@	通貨;貨幣
curriculum@	學校的全部課程
curry@	咖喱
customs@	關稅;報關手續;海關出入境口
dart@	標槍;鏢;飛奔
dazzle@	耀眼的光;令人讚歎的東西
decay@	腐爛;蛀牙
declaration@	宣佈,宣告;宣言,聲明
delegate@	代表;會議代表
delegation@	授權;代表團
democrat@	民主主義者
denial@	否認;拒絕
despair@	絕望
destination@	目的地,終點
destiny@	命運;天數
detergent@	洗潔劑,洗衣粉
devotion@	奉獻
dialect@	方言
disbelief@	不信;懷疑
discard@	拋棄,丟棄
disciple@	信徒;門徒
distinction@	區別;殊勳;榮譽
distress@	悲痛;苦惱
document@	文件;證件
doorstep@	門階
doorway@	出入口;門口
dormitory@	學生宿舍
dough@	生麵糰;現款
drape@	簾(尤指窗簾);幔
dresser@	衣櫃
dressing@	打扮;佈置,裝飾;(拌沙拉等用的)調料
driveway@	車道
duration@	持續,持久
dusk@	薄暮,黃昏
dwarf@	矮子;矮小的動(植)物
dwelling@	住處;寓所
eclipse@	蝕;被遮蔽;黯然失色
eel@	鰻魚
ego@	自我;自負
embrace@	擁抱
endeavor@	努力;盡力
enrollment@	登記;入會;入伍;登記人數
enterprise@	企業,公司
escort@	護衛隊;護航隊;護送;護航
estate@	地產
esteem@	尊重;評價
ethic@	倫理標準
evergreen@	常綠樹;萬年青
exaggeration@	誇張
excess@	超越;過量
executive@	執行者;業務主管
exile@	流放;流亡;被流放者
extension@	伸長;擴大;延期
exterior@	外部;外表;外景
external@	外表;表面
eyelash@	(一根)睫毛;(一根)眼毛
eyelid@	眼皮;眼瞼
fabric@	布料;織品
fad@	一時的流行(或風尚)
Fahrenheit@	華氏溫標
fatigue@	疲勞;勞累
feminine@	女性;陰性;陰性詞(或形式)
fertilizer@	肥料
fiance@	未婚夫
fiancee@	未婚妻
fiber@	纖維
fiddle@	小提琴;欺詐
filter@	濾器
fin@	鰭;鰭狀物
fishery@	漁業
flake@	小薄片
flap@	薄片;(信封的)蓋口;拍動
flaw@	缺點;瑕疵;裂隙
flick@	(鞭子的)輕打;(手指的)輕彈
flip@	輕彈;輕擊
flourish@	揮舞;炫耀性的動作
fluency@	流暢;流暢的說話(或寫作)
foe@	敵人;反對者
foil@	箔;花劍劍術
folklore@	民間傳說
format@	版式;形式
foul@	(比賽中)犯規
fowl@	禽;禽肉
fraction@	小部分;片段;碎片
framework@	架構;組織
freight@	(船運的)貨物;運費
frontier@	邊境;邊疆;新領域
fume@	煙;氣;憤怒
fury@	狂怒;狂暴;猛烈
fuse@	保險絲;引信
fuss@	忙亂;小題大作;爭論
gallop@	(馬等的)疾馳;騎馬奔馳
garment@	服裝;衣著
gasp@	倒抽一口氣;喘氣
gathering@	集會,聚集
gay@	同性戀者
gender@	性別
geometry@	幾何學
glacier@	冰河
glare@	瞪眼;怒視;刺眼的強光
gleam@	微光;閃光;一絲
glee@	快樂;歡欣
glitter@	閃光;光彩;(裝飾用)小發光物
gloom@	陰暗;暗處;沮喪的氣氛
gorge@	峽谷;暴食
gorilla@	大猩猩
gospel@	基督教教義;福音書
grant@	獎學金,助學金
gravity@	地心吸力
grease@	油脂;賄賂
greed@	貪心
grip@	緊握;(咬或夾)住;理解;掌握
groan@	呻吟聲;抱怨(聲)
gross@	總額;總量
growl@	嗥叫(聲);咆哮
grumble@	牢騷;轟隆聲
guideline@	指南;指導方針
gulp@	吞嚥;一(大)口;哽塞(聲)
gust@	一陣強風
gut@	腸子;內臟;勇氣
gypsy@	吉普賽人;流浪者
hairdo@	髮式,髮型; 做頭髮
hairstyle@	髮型
handicap@	障礙,不利條件
handicraft@	手工藝;手工藝品
harness@	馬具;挽具;保險帶
haul@	拖;拉;拖運;一次獲得的量
haunt@	常去之處
hedge@	樹籬;界限;兩面下注
heed@	留心;注意
heir@	繼承人;嗣子
herald@	報信者;使者;先驅
herb@	草本植物;藥草
hermit@	隱士
heroic@	(常用 heroics ) 英雄辭令;豪壯行為
heterosexual@	異性戀的人
hi-fi@	高傳真的音響裝置
hijack@	劫持事件
hiss@	嘶嘶聲;噓聲
hockey@	曲棍球
homosexual@	同性戀者
honk@	雁鳴或汽車喇叭聲
hood@	兜帽;風帽;罩;車蓋
hoof@	蹄
horizontal@	水平線;水平面;水平位置
hostage@	人質;抵押品
hound@	獵犬;卑劣的人
housing@	房屋,住宅
hover@	盤旋;徘徊
howl@	嗥叫;怒吼;大哭;大笑
hurl@	猛力投擲
hymn@	讚美詩;聖歌
idiot@	白癡;笨蛋
impulse@	衝動;推動力
incense@	香
index@	索引;標誌;指示符號
indifference@	漠不關心;無關緊要
initiate@	初學者;新加入者
inland@	內地,內陸
institute@	(專科性的)學校,大學;研究所
intent@	意圖;目的
interference@	干涉,干預;擾亂
interior@	內部;內地
interpretation@	解釋;闡明
interpreter@	通譯員
intuition@	直覺
isle@	小島
issue@	問題;爭論;發行(物)
ivy@	常春藤
jack@	千斤頂;(紙牌中的)"J"牌,杰克;水手
jade@	玉;玉製品;綠玉色
janitor@	清潔工;管理員;看門人
jasmine@	茉莉;淡黃色
jeer@	嘲笑;奚落人的話
jingle@	(鈴、硬幣等金屬的)叮噹聲
jolly@	快活 (常用 jollies)
journalism@	新聞業;新聞學
journalist@	新聞工作者
jug@	水罐;甕;壺;監牢
jury@	陪審團
juvenile@	青少年;幼體;兒童讀物
kin@	家族;同類
lad@	男孩;小伙子
landlady@	女房東
landlord@	房東
laser@	雷射
lash@	鞭打;(風浪等的)猛烈打擊;斥責
latitude@	緯度;
lawmaker@	立法者
layer@	層;階層;地層
league@	同盟,聯盟
legislation@	立法;法規
lieutenant@	中尉(或少尉);助理官
likelihood@	可能;可能性
lime@	石灰;酸橙
limp@	跛行
livestock@	(總稱)家畜
lizard@	蜥蜴
locomotive@	火車頭
locust@	蝗蟲
lodge@	木屋;小旅舍;守衛室
logo@	商標
longitude@	經度
lottery@	獎券;彩票;抽籤;運氣
lotus@	蓮花
lumber@	木材;木料
lump@	團;塊;腫塊;小方塊
maiden@	少女;處女
mainland@	大陸
mainstream@	(河的)主流;主要傾向
maintenance@	維持;維修;保養
majesty@	雄偉;壯麗;(帝王的)威嚴
mammal@	哺乳動物
mansion@	大廈,大樓
maple@	槭樹;楓樹
marine@	船舶;海運業;海軍陸戰隊隊員
marshal@	元帥;高級將官;典禮官
marvel@	令人驚奇的事物(或人物)
masculine@	男性;陽性;陽性詞
mash@	糊狀物;混合飼料
massage@	按摩(術);推拿
masterpiece@	傑作,名作
mayonnaise@	蛋黃醬;美乃滋
meantime@	其時,其間
mechanics@	力學;機械學;技術;技巧
menace@	恐嚇;具有危害性的人(或物)
mermaid@	美人魚
midst@	當中;中間
migrant@	移民;候鳥
mileage@	總英里數;(每單位燃料的)行駛哩數
milestone@	里程碑;劃時代的事件
mint@	薄荷;薄荷糖;造幣廠
miser@	吝嗇鬼;守財奴
mistress@	女主人,主婦
moan@	呻吟聲;嗚咽聲;悲歎
mock@	嘲弄;笑柄;仿製品;模擬考
mode@	方式;型;模式
molecule@	分子;微小顆粒
monarch@	君主
mortal@	人;凡人
moss@	苔蘚;泥炭沼澤
motherhood@	母性;(總稱)母親們
motive@	動機;主旨
mound@	土墩;墳堆;小丘;投手的踏板
mount@	騎;可乘騎的東西;底座;山丘
mower@	割草機;收割機
mumble@	含糊的話;咕噥
muse@	沈思;冥想
mustard@	芥末;芥菜;芥末色
mutter@	咕噥;抱怨
mutton@	羊肉
myth@	神話;虛構的人(或事物)
nag@	好嘮叨的人
newscast@	新聞廣播
nibble@	細咬;啃;少量
nickel@	鎳;五分鎳幣
nightingale@	夜鶯
nostril@	鼻孔
notable@	名人;顯要人物
notion@	概念;想法;打算
novice@	新手;初學者
nucleus@	(原子)核;細胞核;核心
nude@	裸體畫像;裸體
oar@	槳;櫓;划手
oasis@	(沙漠中)的綠洲
oath@	誓言;宣誓
oatmeal@	燕麥片;燕麥粥
oblong@	橢圓形
observer@	觀察員;奉行者
occurrence@	發生;出現;事件
octopus@	章魚
odds@	機會;可能性;投注賠率;不和
odor@	氣味
olive@	橄欖;橄欖色
opponent@	對手;敵手,反對者
optimism@	樂觀;樂觀主義
orchard@	果樹園;果樹林
organizer@	組織者;萬用記事本
orient@	亞洲國家(尤指東亞)
oriental@	東方人;亞洲人
ornament@	裝飾品;裝飾
orphanage@	孤兒院;孤兒身分
ostrich@	駝鳥;有駝鳥心理的人
ounce@	盎司,英兩
output@	出產;生產;產量
outsider@	外人;門外漢;局外人
outskirts@	(複數)郊外;郊區
overall@	工作褲;工作服;防護服
overflow@	溢出;過剩;泛濫
overwork@	過於繁重的工作;過勞
oyster@	牡蠣;沈默寡言的人
ozone@	臭氧
pacific@	(大寫) 太平洋
packet@	小包(裹);小捆;小袋
paddle@	槳;(桌球的)球拍
pane@	窗玻璃片;窗格;嵌板
paradox@	自相矛盾的議論
parallel@	平行線;平行面
parlor@	客廳;接待室
participant@	關係者;參與者
particle@	微粒;顆粒
pastime@	消遣;娛樂
pastry@	酥皮點心
patch@	補釘;補片;貼片
patent@	專利;專利權
patriot@	愛國者
patrol@	巡邏;巡邏兵
patron@	贊助者;主顧(尤指老顧客)
peacock@	孔雀;愛炫耀的人
peasant@	農夫
peck@	啄;啄痕;輕吻
peddler@	小販
peek@	偷偷看;一瞥
peg@	栓;樁;(曬衣用)衣夾;(木製)假腿
perch@	(鳥類的)棲息處
performer@	演出者;演奏者;表演者
peril@	(嚴重的)危險;危險的事物
personnel@	(總稱)人員;員工;人事部門
pessimism@	悲觀;悲觀主義
pier@	碼頭;防波堤
pilgrim@	香客,朝聖者
pillar@	柱子;棟樑
pimple@	丘疹;面皰
pinch@	擰;夾;(一)撮
piss@	小便
pistol@	手槍
plague@	瘟疫;天災;禍患
plantation@	大農園;造林地
playwright@	劇作家
plea@	請求;懇求
pledge@	保證;誓言;抵押
plow@	犁;除雪機
pluck@	(一)拉;(一)扯
plunge@	跳入;衝進;猛跌
pocketbook@	錢包;皮夾子;袖珍本
poke@	戳;捅;撥弄;慢性子的人
porch@	門廊;入口處;走廊
potential@	可能性;潛力,潛能
poultry@	家禽
prairie@	大草原
precaution@	謹慎;預防措施
preference@	偏愛;優先(權)
preview@	預習;預告片
prey@	被捕食的動物;犧牲者
prick@	刺;扎;刺傷;悔恨
prior@	修道院院長或副院長
priority@	在先;重點;優先權
procession@	一(長)列;一(長)排;隊伍
profile@	側影;輪廓;人物簡介
prop@	支柱;支撐物;後盾;道具
prophet@	先知
proportion@	比例;比率
prospect@	預期;前途;盼望的事物
province@	省,州
prune@	梅乾;深紫紅色
puff@	(一)吹;粉撲;(奶油)鬆餅
pulse@	脈搏;有節奏的跳動
purchase@	所購之物
pyramid@	(常大寫)金字塔;三角錐
quack@	鴨叫聲
quart@	夸脫(=2 品脫)
quest@	追求;探索
quiver@	顫抖;抖動;箭袋內的箭
rack@	掛物架;(行李)網架
radish@	小蘿蔔
radius@	半徑
rail@	欄杆;扶手;鐵軌
rally@	大集會;重整旗鼓
ranch@	大牧場
rascal@	無賴;淘氣鬼
ratio@	比率;比例
rattle@	咯咯聲;吵鬧聲
realm@	王國;國土;領土
rear@	後部,後面
reef@	礁;暗礁
reel@	捲軸;捲筒;一捲
referee@	裁判員;仲裁人
refuge@	躲避;避難;避難所
reign@	統治;在位期間
relic@	遺物;遺風;遺跡
reminder@	提醒者,提醒物;催函
reptile@	爬行動物;爬蟲類
republican@	共和主義者
resentment@	憤慨;怨恨
residence@	住所;住宅
resident@	居民;住院醫生
resort@	休閒度假之處;名勝
resume@	(個人)簡歷
retort@	回嘴;反駁
reverse@	相反;反面;反向
revolt@	反叛;起義;反感
rhino@	犀牛
rhinoceros@	犀牛
rib@	肋骨;排骨
ridge@	屋脊;山脈;(狹長的)隆起部
rifle@	步槍,來福槍
rim@	(尤指圓形物的)邊緣
rip@	裂口
ripple@	漣漪;細浪;波紋
rival@	競爭者,對手,敵手
roam@	漫步;漫遊;流浪
robin@	知更鳥
rod@	棒,桿,竿
rubbish@	垃圾;廢物
rumble@	隆隆聲;轆轆聲
rustle@	沙沙聲;窸窣聲
saddle@	馬鞍;(自行車、摩托車的)車座
saint@	聖徒;道德崇高的人
salmon@	鮭魚;鮭肉;鮭肉色
salute@	敬禮;致敬;致意
sandal@	涼鞋;拖鞋
savage@	野蠻人
scan@	掃描
scandal@	醜聞;醜事
scar@	疤;(物品等的)損傷痕
scent@	氣味;香味;蹤跡
scheme@	計劃;方案
scorn@	輕蔑;嘲笑
scramble@	爬行;攀登;爭奪
scrap@	碎片;小塊;破爛
scrape@	刮;擦;擦傷;擦痕
scroll@	卷軸;渦卷形裝飾
sculptor@	雕刻家
segment@	部分;部門;切片
sensation@	感覺;知覺;轟動
sensitivity@	敏感性;感受性
sentiment@	感情;情緒;感傷
sergeant@	中士;警官
series@	連續;系列
sermon@	佈道;說教
server@	侍者;伺服器
setting@	安裝;設定;鑲嵌;背景
sheriff@	警長
shield@	盾;保護者;擋板
shiver@	顫抖;寒顫
shortage@	缺少,不足,匱乏
shortcoming@	缺點,短處
shove@	推;撞
shred@	碎片;碎條;破布
shriek@	尖叫聲
shrine@	聖壇;神殿
shrub@	矮樹;灌木
shudder@	發抖;戰慄
shutter@	關閉物;活動遮板;(相機的)快門
silkworm@	蠶
simmer@	即將沸騰(或爆發)的狀態
skeleton@	骨骼;骨瘦如柴的人(或動物);概略
skull@	頭骨;骷髏畫
slam@	砰然聲;(撲克牌的)滿貫
slap@	摑;侮辱
slaughter@	屠宰;大屠殺
slump@	暴跌;不景氣;消沈
smash@	粉碎;瓦解;(演出等的)成功
snarl@	吠;咆哮;纏結
snatch@	奪取;抓走
sneak@	溜走,不告而別
sneaker@	運動鞋
sniff@	嗅;聞;吸氣聲
snore@	打鼾;鼾聲
snort@	噴鼻息;噴氣聲
soak@	浸泡;浸漬
sole@	腳底;鞋底;襪底;底部;比目魚
solitary@	獨居者;隱士
solo@	獨奏(曲);獨唱(曲);單飛
sovereign@	君主;元首;主權國家
spacecraft@	太空船,航天器
spaceship@	太空船
specialist@	專家;專科醫生
specimen@	樣品;標本
spectacle@	景象;奇觀;壯觀
spectator@	旁觀者;目擊者
spine@	脊柱;書脊;骨氣
splendor@	光輝;壯觀;輝煌
sponge@	海綿;海綿狀物
spotlight@	聚光燈;公眾注意的中心
sprint@	全速疾跑;短距離賽跑
spur@	踢馬刺;激勵;(雞等的)距;骨刺
squat@	蹲坐;蜷伏
stack@	乾草堆;一疊;煙囪
stagger@	搖晃;蹣跚
stain@	污點;色斑;染色劑
stake@	股本;賭金;危險
stall@	廄;攤位;(汽車的)拋錨
stanza@	詩的一節
statesman@	政治家
statistic@	統計量;統計數值
steer@	指點,建議
stereotype@	陳規;鉛版印刷
stew@	燉肉;燜菜;燉煮的食物
steward@	男服務員;管家
stewardess@	(客機、輪船)女服務員
stink@	臭氣
stoop@	彎腰;駝背;屈尊
storage@	貯藏;貯藏庫
strain@	拉緊;張力;壓力;扭傷;血緣
strait@	海峽
strand@	股;縷;絞;線;繩;串
strap@	帶子;皮帶
stray@	迷路者;流浪者;走失的家畜
streak@	條紋;斑紋;光線
stride@	闊步;步姿
stripe@	條紋;斑紋;線條
stroll@	散步;閒逛
stumble@	絆倒;失足
stump@	殘幹;(鉛筆)頭;(煙)蒂
stutter@	結巴;口吃
substitute@	代替物;代用品
suitcase@	小型旅行箱;手提箱
sulfur@	硫(磺);硫磺色
superstition@	迷信
supervisor@	管理人;指導者
surge@	大浪;波濤
swamp@	沼澤;沼澤地;困境
swarm@	(密集的)一大群
tan@	棕褐色;曬成的棕褐膚色;鞣料
tangle@	糾結;紛亂
tar@	柏油;瀝青; 水手
tart@	水果餡餅;水果蛋糕
taunt@	辱罵;嘲笑;被嘲笑的人
tavern@	小酒館;小客棧
teller@	敘述者;(銀行)出納員
tempo@	速度;拍子
temptation@	引誘;誘惑;誘惑物
tenant@	房客
terminal@	終端機;接頭
terrace@	大陽臺;露天階梯看臺;梯田
thigh@	股;大腿
thorn@	刺;棘;惱人的事或人
thrill@	興奮;顫抖;引起激動的事物
thriller@	恐怖小說(或電影等)
throne@	王座;神座;君權;帝王
throng@	人群;大群;群集
thrust@	猛推;刺;驅動力
tick@	(鐘;錶等的)滴答聲;蝨
tile@	瓦;瓷磚;地磚;(麻將等的)牌
tilt@	傾斜;傾向
tin@	錫;罐頭
tiptoe@	腳趾尖
toad@	蟾蜍;令人討厭的人
toil@	辛苦;勞累;苦工
token@	標誌;象徵;代價券;籌碼
torch@	火炬,火把
torment@	痛苦;苦惱;折磨
torrent@	洪流;(話語的)連發;(感情的)狂潮
torture@	拷打;酷刑;折磨
tournament@	比賽;錦標賽
trademark@	商標
traitor@	叛徒;賣國賊;背叛者
tramp@	沈重的腳步聲;流浪;流浪者;蕩婦
trample@	踐踏;蹂躪;踐踏聲
treasury@	金庫;庫房;國庫;寶庫
treaty@	條約,協定
trench@	溝;溝渠;戰壕
tribute@	進貢;敬意;尊崇
trifle@	瑣事;小玩意;乳脂鬆糕
trim@	修剪;修整;鑲邊飾
triple@	三倍數;三倍量;三個一組;三壘打
trot@	(馬等的)小跑;(人的)慢跑
trout@	鱒魚;鮭鱒魚
tuck@	(衣服等的)褶襉;打褶
tuition@	學費
tuna@	鮪魚
tyrant@	暴君;專橫的人
umpire@	仲裁人;(棒球等的)裁判員
undergraduate@	大學生;大學肄業生
underline@	底線
underneath@	下面;底部
update@	最新的(信息、報導等);更新
upright@	垂直;豎立;直立的東西
vacancy@	空;空白;空房;空缺
vacuum@	真空;空白;吸塵器
vanity@	自負;虛榮;梳妝臺
vapor@	水汽
vegetation@	植被;草木
veil@	面紗;帷幕;託詞
vein@	靜脈;(葉、翅、礦)脈;紋理
velvet@	天鵝絨;絲絨
venture@	冒險;企業
verbal@	準動詞
vertical@	垂直線;垂直面
veto@	否決;否決權
videotape@	錄影帶;錄像帶
viewer@	觀看者;觀眾
vigor@	vigor
villain@	壞人;反派角色
vine@	藤;藤蔓;葡萄樹
violinist@	小提琴手
visa@	簽證
vow@	誓言;誓約
wade@	跋涉;艱難的行走
wail@	慟哭聲;哀訴
ward@	病房;牢房;行政區
ware@	(特定種類的)陶器;貨物
warehouse@	倉庫;批發店
warrior@	武士;戰士;勇士
wharf@	碼頭;停泊處
wheelchair@	輪椅
whereabouts@	行蹤;下落
whine@	哀鳴聲;牢騷
whirl@	旋轉;迴旋
whisk@	撢;迅速移動;攪拌器
whiskey@	威士忌酒
whisky@	威士忌酒
wholesale@	批發
widow@	寡婦
widower@	鰥夫
wig@	假髮
wilderness@	荒野,荒漠
wildlife@	野生生物
woe@	悲哀;災難
woodpecker@	啄木鳥
workshop@	作坊;研討會
worship@	崇拜;敬神;禮拜
wreath@	花圈;花冠
wring@	絞;擰;扭
yacht@	快艇;遊艇
yarn@	紗;紗線;冒險故事
yeast@	酵母;酵母片
yield@	產量;利潤
yoga@	瑜珈
zinc@	鋅
zip@	(子彈的)尖嘯聲;拉鍊;零
zoom@	嗡嗡聲;變焦攝影
abnormal@	不正常的
aboriginal@	土著的;土著居民的
absentminded@	心不在焉的;健忘的
accessible@	可(或易)接近的;可(或易)得到的
accessory@	附加的;附屬的
accountable@	應負責任的;可說明的
acute@	尖銳的;敏銳的;劇烈的
administrative@	管理的;行政的
affectionate@	充滿深情的;溫柔親切的
alcoholic@	含酒精的;酗酒的
alternative@	兩者(或若干)中擇一的
ambiguous@	含糊不清的
amiable@	和藹可親的
analytical@	分析的
animate@	有生命的;活潑的;有活力的
anonymous@	匿名的
antarctic@	南極的;南極區的
antibiotic@	抗生的;抗菌的
applicable@	合用的;可實施的
approximate@	近似的;大概的
arctic@	北極的;北極區的
arrogant@	傲慢的;自大的
articulate@	發音清晰的;口才好的
attendant@	出席的;伴隨的;侍候的
authentic@	可信的;真實的
awesome@	令人敬畏的;非凡的
biological@	生物的;生物學的
bizarre@	奇異的;異乎尋常的
bleak@	荒涼的;陰冷的;無希望的
blunt@	鈍的;遲鈍的;直率的
brisk@	輕快的;興旺的;寒冷而清新的
brute@	畜生的;畜生般的;殘忍的
bulky@	體積大的;笨重的
captive@	被俘的;被迷住的
charitable@	慈善的;寬容的
chronic@	(病)慢性的;(人)久病的;長期的
clinical@	臨床的;診所的
coherent@	一致的;條理清楚的;連貫的
collective@	集體的;共同的
colloquial@	口語的;會話的
communicative@	愛說話的;交際的
comparable@	可比較的;比得上的
comparative@	比較的;相對的
compatible@	能共處的;可並立的;相容的
competent@	有能力的;能幹的;能勝任的
component@	組成的;構成的
comprehensive@	廣泛的;綜合的
concise@	簡明的
confidential@	祕密的;機密的
conscientious@	憑良心的;誠實的;認真的
constituent@	構成(全體)的;組成的;選舉的
controversial@	有爭議的;好議論的
coordinate@	同等重要的;座標的;對等的
cordial@	熱忱的;衷心的
corporate@	法人(組織)的;團體的;共同的
cosmetic@	化妝用的;裝飾性的;表面的
cosmopolitan@	世界性的;國際性的
credible@	可信的;可靠的
crooked@	彎曲的;欺詐的;不正派的
crucial@	決定性的;重要的
crude@	未經加工的;粗野的;粗糙的
cumulative@	漸增的;蓄積的;累計的
customary@	習慣上的;按慣例的
deadly@	致命的,致死的;非常的,極度的
decent@	正派的;體面的
decisive@	決定性的;確定的;果斷的
deliberate@	深思熟慮的;蓄意的
delinquent@	怠忽職守的;拖欠的;犯法的
dental@	牙齒的;牙科的
designate@	指定的
destined@	命中注定的;(場所)預定的
diplomatic@	外交的;有外交手腕的
disastrous@	災害的;悲慘的
disciplinary@	訓練的;紀律的;懲戒的
discreet@	謹慎的;謙虛的;不引人注意的
disgraceful@	不名譽的;可恥的
dispensable@	非必要的;可分配的
disposable@	可任意處理的;用完即丟棄的
dissident@	意見不同的
diverse@	互異的;多變化的
documentary@	文件的;(電影、電視等)記錄的
drastic@	激烈的;極端的
dreary@	慘淡的;沈悶的
dual@	雙的;雙倍的;雙重的
dubious@	半信半疑的;含糊的
eccentric@	(人、行為等)古怪的
edible@	可食的,食用的
editorial@	社論的
eligible@	有資格當選的;合格的
elite@	精英的
eloquent@	雄辯的;口才流利的
emphatic@	強調的;著重的
epidemic@	流行性的;傳染的;極為流行的
equivalent@	相等的,相同的
ethical@	倫理的;道德的
ethnic@	種族的;人種學的
excessive@	過度的;極度的
exclusive@	排外的;唯一的;獨家的
exotic@	異國情調的;外來的
explicit@	詳盡的;清楚的
exquisite@	精緻的;精良的;精選的
extracurricular@	課外的
fabulous@	極好的;驚人的
feasible@	可行的;可能的
finite@	有限的
fireproof@	防火的;耐火的
fluid@	流動的;液體的;流暢的
formidable@	令人畏懼的;難對付的
forthcoming@	即將到來的
foster@	收養的
fragile@	易碎的;虛弱的
frail@	身體虛弱的;易損壞的
genetic@	基因的;遺傳(學)的
gloomy@	陰暗的;憂鬱的
graphic@	生動的;寫實的;圖解的
honorary@	(學位等)名譽上的;名譽職位的
hospitable@	好客的;(氣候等)宜人的
humanitarian@	人道主義的;博愛的
hysterical@	歇斯底里的;極可笑的
immune@	免疫的;免於...的
imperative@	必要的;命令式的;祈使法的
implicit@	不言明的;含蓄的
imposing@	壯觀的;氣勢宏偉的;莊嚴的
incentive@	刺激的;鼓勵的,獎勵的
incidental@	易發生的;附帶的
inclusive@	包含的;包括在內的
inevitable@	不可避免的
infectious@	傳染的;有感染力的
ingenious@	心靈手巧的;足智多謀的
inherent@	固有的;與生俱來的
initiative@	開始的;初步的;創始的
innovative@	創新的
intact@	完整無缺的;原封不動的
invaluable@	非常貴重的;無價的
ironic@	具有諷刺意味的;挖苦的
irritable@	易怒的;急躁的
joyous@	快樂的;高興的
legendary@	傳說的;傳奇的
legislative@	立法的;有立法權的
legitimate@	合法的;合法婚姻所生的;合理的
lengthy@	長的;冗長的;囉唆的
liable@	易...的;可能的;負有法律責任的
literal@	照字面的;原義的;如實的
literate@	能讀寫的;有文化修養的
lunatic@	瘋的;瘋狂的
lush@	蒼翠繁茂的;豐富的
lyric@	抒情的;適於歌唱的
medieval@	中世紀的;中古風的;守舊的
melancholy@	憂鬱的;令人沮喪的
mellow@	(水果)成熟的;(人)圓熟的
metropolitan@	大都市的
militant@	好戰的;激進的
miniature@	小型的;小規模的
miraculous@	神奇的;奇蹟般的
mischievous@	惡作劇的;淘氣的
missionary@	傳教的;教會的;傳教士的
monotonous@	單調的;無變化的
mournful@	憂傷的;悲切的
municipal@	市的;市政的
mute@	沈默的;啞的
narrative@	敘事的;故事形式的
naval@	海軍的
neutral@	中立的;中立國的;空檔的
notorious@	惡名昭彰的
nutrient@	營養的,滋養的
nutritious@	有營養的
obscure@	暗的;模糊的;偏僻的;微賤的
operational@	操作上的;經營上的
optional@	隨意的;非必須的
orderly@	整齊的;有條理的
outrageous@	可恥的;無法無天的;令人吃驚的
outright@	全部的;直率的;公開的
overhead@	在上頭的;高架的
pathetic@	可憐的;可悲的
patriotic@	愛國的
pedestrian@	徒步的;行人的
persistent@	堅持不懈的;固執的;持續的
perspective@	透視的,透視畫的
petty@	小的;瑣碎的;氣量小的
photographic@	攝影(術)的;攝影用的
picturesque@	圖畫般的;美麗的
pious@	虔誠的;篤信的
pollutant@	受污染的;造成污染的
preliminary@	預備的;初步的
premature@	過早的;草率的;早產的
premier@	首位的;最早的
presidential@	總統的;總統選舉的
preventive@	預防的;防病的
profound@	深刻的;深度的
progressive@	逐漸的
prone@	有...傾向的;俯伏的
prospective@	預期的;盼望中的;未來的
provincial@	省的;鄉氣的
punctual@	準時的
quarrelsome@	喜歡爭吵的
radiant@	光芒四射的;容光煥發的;發熱的
radiate@	具輻射部的;輻射狀的
radical@	基本的;徹底的
random@	胡亂的;隨機的
rash@	輕率的;急躁的
rational@	理性的;明事理的;合理的
recipient@	接受的;受領的
recreational@	消遣的;娛樂的;休養的
redundant@	多餘的;過剩的
reflective@	反射的;沈思的;反映的
regardless@	不注意的,不留心的;不關心的
relevant@	有關的;切題的
