acceptable@	可以接受的;令人滿意的
political@	政治的;政治上的
pop@	通俗的,流行的
practical@	實用的
precious@	寶貴的
previous@	先的,以前的
primary@	主要的;初級的
probable@	很可能發生的
proper@	適合的,適當的
protective@	保護的,防護的
pure@	純粹的
queer@	古怪的;頭暈眼花的
racial@	種族的
raw@	生的,未煮過的;未加工的
reasonable@	合理的,正當的
regional@	地區的,局部的
reliable@	可信賴的;可靠的;確實的
religious@	宗教的;虔誠的
remote@	遙遠的;偏僻的
representative@	代表性的,典型的
ripe@	成熟的
roast@	烘烤的
romantic@	富於浪漫色彩的
rotten@	腐爛的;發臭的
rough@	粗糙的;表面不平的
routine@	日常的,例行的,常規的
rusty@	生鏽的
satisfactory@	令人滿意的
scarce@	缺乏的;不足的
scary@	膽小的;提心吊膽的
scientific@	科學的
secondary@	第二的;次要的
sensible@	有知覺的;明顯的
sensitive@	敏感的;易受傷害的
sexual@	兩性的;關於性關係的;性慾的
sexy@	性感的
shady@	靠不住的;名聲不好的
shallow@	淺的
shiny@	晴朗的;有光澤的
significant@	有意義的
sincere@	誠懇的
slippery@	容易滑的;不明確的
smooth@	平滑的,光滑的;平坦的
solid@	結實的;堅固的
sore@	疼痛的
specific@	特殊的,特定的
stable@	穩定的,牢固的
stale@	不新鮮的;污濁的;陳舊的
steady@	穩固的,平穩的
steep@	陡峭的
sticky@	黏的;塗有黏膠物質的;泥濘的
stiff@	硬的;挺的;拘謹的,不自然的
stormy@	暴風雨的
stubborn@	倔強的,頑固的
sufficient@	足夠的,充分的
suitable@	適當的;合適的;適宜的
superior@	優秀的,上等的
suspect@	可疑的;受到懷疑的;不可信的
swift@	快速的,快捷的
tame@	經馴養的,馴服的
technical@	專門的,技術性的
temporary@	臨時的;暫時的
tender@	溫柔的
thankful@	感謝的,感激的
tidy@	整潔的
tight@	緊的
tricky@	狡猾的;機警的
tropical@	熱帶的
truthful@	誠實的
typical@	典型的,有代表性的
upset@	心煩的,苦惱的
vacant@	空白的;(職位)空缺的
valuable@	有價值的
various@	各種各樣的;好幾個的
violent@	暴力的
violet@	紫色的
visible@	可看見的
vivid@	鮮豔的;生動的
wealthy@	富裕的;豐富的
wicked@	缺德的;淘氣的;過分的
x-ray@	X光線的
account@	把...視為;說明
ache@	(持續性地)疼痛;渴望
achieve@	實現
admire@	欽佩;欣賞
admit@	承認;准許進入;可容納
adopt@	採納;收養;接受
advertise@	為...做廣告;公佈
advise@	勸告
affect@	影響
afford@	買得起
amaze@	使大為驚奇
announce@	宣佈
appeal@	呼籲,懇求
appreciate@	感謝;賞識
approach@	接近,靠近
approve@	同意;贊許
assist@	幫助,協助
attempt@	試圖;企圖
attract@	吸引
author@	開創,發起;著作,編寫
average@	算出...的平均數;使平衡; 平均為
awake@	喚醒
awaken@	醒;覺醒;喚起
award@	授予
ax@	用斧劈;解雇
axe@	ax
bait@	置餌於
balance@	使平衡
bandage@	用繃帶包紮
bang@	發出砰的一聲;砰地敲
bare@	露出
beam@	以樑支撐;用...照射
behave@	舉動;守規矩
benefit@	對...有益
blame@	歸咎於
blanket@	(似)用毯覆蓋;掩蓋
bleed@	流血
bless@	祝福;保佑
boot@	開機
border@	毗鄰,接界
bore@	使厭煩
brake@	煞車,制動
breathe@	呼吸
breeze@	吹著微風
bubble@	沸騰;冒泡
bud@	使發芽
budget@	把...編入預算
bump@	碰,撞
burden@	加重壓於
bury@	埋葬,安葬
buzz@	嗡嗡叫
canoe@	用獨木舟載運
capture@	捕獲;俘虜
cast@	投,擲; 選派...扮演角色
celebrate@	慶祝
chain@	拘禁;束縛
challenge@	對...提出異議
channel@	在...開水道;傳送
charm@	使陶醉
chat@	閒談,聊天
cheer@	向...歡呼
chew@	咀嚼
chill@	使變冷;使打寒顫;使掃興,使沮喪
chip@	削,鑿,鏟
choke@	使窒息;哽住
chop@	砍,劈,斬
click@	發出卡嗒(或喀嚓)聲
clip@	剪;修剪;剪短;剪除
combine@	使結合
comfort@	安慰,慰問
command@	命令;掌握; 指揮;控制
communicate@	傳達;傳遞
compete@	競爭;對抗
concern@	使擔心
conclude@	推斷出,斷定
condition@	決定;為...的條件
confuse@	使迷惑
connect@	連接,連結
contract@	締結;訂契約;承包;收縮
couch@	使躺下;表達;蹲著;埋伏
cradle@	撫育
crash@	碰撞,倒下,墜落
crawl@	爬行,蠕動
credit@	把...記入貸方
creep@	躡手躡足地走
crown@	為...加冕
cycle@	循環,輪轉
dam@	築壩於,築壩攔(水)
dare@	敢;膽敢
dash@	使(希望等)破滅;使沮喪
deafen@	使聾;淹沒(聲音)
deepen@	使加深;使強烈;使變濃
define@	解釋,給...下定義
deposit@	放下,放置;寄存
destroy@	毀壞,破壞
detail@	詳述,詳細說明
determine@	決定
diet@	節食
dim@	變暗淡;變模糊
dine@	進餐,用餐
dip@	浸;泡
disappoint@	使失望
discount@	將...打折扣
dislike@	不喜愛,厭惡
ditch@	掘溝
dive@	跳水
dock@	靠碼頭;入船塢
dodge@	閃開;迴避
dose@	(按劑量)給...服藥
drain@	排出(液體)
drip@	滴下
drown@	淹沒,浸濕
dump@	傾倒;拋棄
dust@	撣去,擦去
echo@	發出回聲
edit@	編輯;校訂
educate@	教育
elbow@	用肘推,擠進
emphasize@	強調
employ@	僱用
empty@	倒空;流空
enable@	使成為可能
engage@	使訂婚;使忙於
envy@	羨慕;嫉妒
erase@	擦掉,抹去
escape@	逃跑;逃脫
exchange@	交換;調換;兌換
exit@	出去,離去;退去
experiment@	進行實驗,試驗
explode@	使爆炸
export@	輸出
fade@	凋謝,枯萎;(顏色)褪去
faint@	昏厥,暈倒
fake@	偽造;捏造;欺騙,迷惑
fancy@	想像;猜想;愛慕(異性)
fashion@	把...塑造成
fasten@	紮牢;繫緊
fax@	傳真傳輸
feature@	以...為特色
file@	把...歸檔
fist@	拳打
flame@	發火焰,燃燒
flavor@	給...調味
float@	浮
flock@	聚集;成群地去(或來)
fold@	摺疊;對摺
found@	建立;建造;鑄造;熔化
freeze@	結冰,凝固;凍結
frequent@	常到,常去
frustrate@	挫敗;阻撓
fry@	油炸
fund@	提供(事業,活動等的)資金
gamble@	賭博;打賭
gang@	成群結隊;結夥
gesture@	做手勢,用動作示意
glance@	看一下,一瞥;掃視
glory@	驕傲;自豪
glow@	發白熱光,灼熱
gossip@	閒聊
grab@	攫取,抓取
graduate@	畢業
grasp@	抓牢;握緊
grin@	露齒而笑
harbor@	庇護;藏匿
harm@	損害,傷害;危害
harvest@	收割;收穫
hatch@	孵出
headline@	給...加標題
heal@	癒合;痊癒
heap@	裝滿
heel@	給(鞋等)裝後跟;緊跟;(船)傾斜
hesitate@	躊躇;猶豫
hike@	徒步旅行
hint@	暗示,示意
hollow@	挖空;凹陷
honor@	使增光;承兌,支付
hug@	摟抱
hush@	使沈默,使安靜
import@	輸入
impress@	給...極深的印象
inform@	通知,告知
injure@	傷害;損害;毀壞
inspect@	檢查;審查
interrupt@	打斷(談話和工作等)
investigate@	調查,研究
jail@	監禁;拘留
jaw@	對...嘮叨;責罵
jet@	噴出,射出
journey@	旅行
junk@	把...當廢物丟棄;拋棄
kneel@	跪(下)
knight@	封...為爵士,授...以爵士位
knit@	編織
knot@	把...打結;捆紮
label@	貼標籤於
lace@	用花邊等裝飾
leak@	洩漏(祕密等)
leap@	跳,跳躍
lengthen@	使加長,使延長
litter@	亂丟(雜物)
load@	裝,裝載
loosen@	鬆開,解開
lullaby@	唱搖籃曲使入睡
major@	主修
manage@	管理;經營;處理
march@	行軍;把(人)強行帶走
melt@	融化;熔化
memorize@	記住;背熟
mend@	修理,修補
mention@	提到,說起
mess@	弄髒,弄亂
microwave@	用微波爐烹調
mill@	碾碎
mist@	使蒙上薄霧
mob@	成群襲擊,圍攻
mop@	拖洗;擦去
murder@	謀殺,兇殺
mushroom@	雨後春筍般地湧現
nap@	打盹,小睡
nickname@	給...起綽號
observe@	看到;觀察
occasion@	引起;惹起
orphan@	使成孤兒
outline@	概述,略述
owe@	欠(債等);應給予;應該做
pad@	填塞,襯填
panic@	使恐慌
parade@	在...遊行
parcel@	分;分配
participate@	參加,參與
pause@	中止
pave@	鋪,築(路等)
paw@	(用腳爪等)抓;扒
peak@	使尖起;達到高峰;聳起
peel@	削去;剝,去(皮,殼等)
peep@	窺,偷看
perform@	履行;執行;表演, 演奏
permit@	允許,許可,准許
persuade@	說服,勸服
pickle@	醃製;將...做成泡菜
pilot@	駕駛(飛機等);帶領;引導
pit@	使成凹;挖坑於
pity@	憐憫;同情
plug@	把...塞住,堵塞
poll@	對...進行民意測驗
pollute@	污染
pop@	發出砰(或啪)的響聲
portion@	分配
postpone@	延遲,延緩
pour@	倒,灌,注
powder@	變成粉末;搽粉
pressure@	對...施加壓力;迫使
pretend@	佯裝;假裝
prevent@	防止,預防
process@	加工沖洗(膠卷)
profit@	得益,獲益
program@	為...安排節目;設計電腦程式
promote@	推銷(商品等)
punch@	用拳猛擊
pursue@	追求;從事
quarrel@	爭吵
quote@	引用;引述
rank@	把...分等;把...評級
rate@	對...評價
react@	作出反應
recognize@	識別;認識;承認
recover@	尋回;恢復
reduce@	減少;縮小;降低
regret@	懊悔
relate@	有關,涉及
relax@	使鬆弛,使鬆懈,放鬆
release@	釋放,解放
rely@	依靠,依賴
remain@	剩下,餘留
remind@	提醒
remove@	移動,搬開
renew@	換新;修補
rent@	租
repair@	修理
replace@	取代;以...代替
represent@	象徵;表示
request@	請求給予
reserve@	儲備,保存;保留
resist@	抵抗,反抗;抗拒
respond@	作答,回答
restrict@	限制;限定;約束
reveal@	展現,顯露出
rid@	使免除;使擺脫;從...清除
risk@	冒...的風險
roar@	吼叫;大聲叫喊;狂笑
roast@	烤,炙,烘
rob@	搶劫
robe@	使穿上禮服
rocket@	用火箭運載;飛快行進
rot@	腐爛,腐壞;腐朽,破損
rough@	使不平,使粗糙;草擬;粗魯行事
rumor@	謠傳;傳說
rust@	生鏽
scatter@	使分散;使潰散
schedule@	安排;將……列入計畫（或時間）表
scoop@	用勺舀;挖空;挖出
scout@	偵察;搜索;嘲笑,嘲弄
scream@	尖叫;放聲大哭
screw@	(用螺釘等)固定;扭歪(臉等)
scrub@	用力擦洗;揉
seal@	封,密封;蓋章
seek@	尋覓
seize@	抓住;捉住;沒收;扣押
sew@	縫製;縫補
shade@	遮蔽,蔽蔭
shadow@	使變暗;使陰鬱
shame@	使感到羞恥
shampoo@	洗(頭髮);洗(地毯等)
shave@	刮(鬍子等);修剪
shorten@	使變短;縮短
shovel@	用鐵鍬挖
shrink@	縮短,皺縮
sigh@	嘆氣,嘆息
signal@	發信號,打信號
sin@	犯(罪)
sip@	啜飲
skate@	溜冰
ski@	滑雪
skip@	略過;漏掉
slave@	奴隸般工作;苦幹
slice@	切成薄片
smooth@	光滑地,平滑地
snap@	突然折斷;用快照拍攝
sorrow@	感到悲傷;懊悔;遺憾
spice@	加香料於
spill@	使溢出;使濺出;使散落
spin@	使(陀螺等)旋轉
spit@	吐(唾液等)
splash@	濺,潑
spoil@	寵壞,溺愛
sprain@	扭;扭傷
spray@	噴灑,噴塗
sprinkle@	灑,噴淋;撒
spy@	暗中監視
squeeze@	榨,擠,壓
stab@	刺,戳
staff@	給...配備職員
stare@	盯,凝視
starve@	餓死;餓得慌;渴望
steady@	使穩固;使穩定
sting@	刺,螫,叮
stir@	攪拌,攪動
stitch@	縫;繡;編結
strip@	剝去,剝光
structure@	構造;組織;建造
stuff@	裝;填;塞
style@	稱呼;命名;設計;使成為時髦
suck@	吸,吮,啜
suffer@	遭受;經歷;受苦;患病
suggest@	建議
sum@	計算...的總和
suppose@	猜想,以為;假定
surround@	圍,圍繞
survey@	測量,勘測
suspect@	疑有,察覺
swear@	發誓;宣誓
sweat@	出汗
swell@	腫起,腫脹
switch@	使轉換;為...轉接(電話)
tack@	用平頭釘釘
tag@	給...加標籤
tailor@	做裁縫
tame@	馴化;使軟化
tax@	向...課稅
tease@	逗弄;取笑;向...強求
tend@	走向;趨向;照料
thread@	穿(針,線等)
threaten@	威脅,恐嚇
tickle@	使發癢;逗...笑
tidy@	使整潔
tighten@	變緊,繃緊
toss@	拋,扔,投
tow@	拖,拉;牽引
trace@	追蹤;描繪
trail@	拖,曳
transport@	運送,運輸
trash@	修剪(樹等)的枯枝殘葉;丟棄
tremble@	發抖;震顫
troop@	群集,集合
tug@	用力拉
tumble@	跌倒;滾下
tune@	為...調音
tutor@	當家庭教師
twist@	扭轉;扭彎
unite@	統一;使團結
upset@	使心煩意亂;翻倒;傾覆
vanish@	使不見;使消失
vary@	使不同;變更;呈多樣化
wag@	搖;搖擺;搖尾巴
waken@	醒來;睡醒;喚醒
wander@	漫遊;閒逛
warn@	警告
wax@	給...上蠟
weaken@	削弱,減弱
weave@	織;編
web@	(蜘蛛等)結網於;形成網狀
weed@	除掉(雜草)
weep@	哭泣,流淚
whip@	鞭笞,抽打
whistle@	吹口哨;鳴笛
wink@	眨(眼)
wipe@	擦;揩乾
wrap@	包,裹
x-ray@	用X光線檢查
yawn@	打呵欠
yell@	吼叫
zipper@	拉上拉鍊
zone@	劃出...為區
dare@	敢;竟敢
ought@	應當,應該
aboard@	在船(或飛機;車)上;上船(或飛機;車)
afterward@	之後,以後,後來
afterwards@	之後,後來
apart@	分開地,相間隔地
aside@	在旁邊;到(或向)旁邊
badly@	壞;拙劣地
bang@	砰地;驀地,突然;恰好,正好
barely@	僅僅;勉強
due@	(置於方位詞前)正
fairly@	公平地,公正地
farther@	(距離,時間)更遠地;此外
forever@	永遠
forth@	向前;向前方;向外
hourly@	頻繁地;時時
indeed@	確實,實在
indoors@	在室內,在屋裡
instead@	反而,卻
meanwhile@	其間;同時
opposite@	在對面,在對過
outdoors@	在戶外,在野外,在露天;往戶外
plenty@	足夠,充分地
pop@	突然地
rough@	粗糙地,粗略地
seldom@	很少地
shortly@	立刻,馬上;簡短地,扼要地
someday@	將來有一天
somehow@	不知怎麼的
sometime@	某一時候;日後,改天
somewhat@	有點,稍微
steady@	穩固地;穩定地
threateningly@	威脅地；脅迫地
tight@	牢牢地
aboard@	上(船,飛機,車);在(船,飛機,車)上
beneath@	在...之下
onto@	到...之上;向...之上
opposite@	在...對面
unless@	如果不,除非
accident@	事故;災禍
account@	帳目;描述
ache@	(持續性地)疼痛
achievement@	成就
activity@	活動
ad@	廣告
advantage@	優點,優勢;利益
adventure@	冒險;冒險活動
advertisement@	廣告
advice@	忠告
adviser@	顧問;指導教授
advisor@	adviser
agriculture@	農業
alley@	小巷,後街
amazement@	驚奇,詫異
ambassador@	大使
ambition@	野心
angel@	天使
angle@	角度
announcement@	宣佈
appeal@	呼籲,懇求
approach@	靠近;方法,門徑
aquarium@	養魚缸;水族館
arithmetic@	算術,計算
arrival@	到達
ash@	灰
athlete@	運動員,體育家
attempt@	企圖,嘗試
attitude@	態度
audience@	聽眾
author@	作者;作家
auto@	汽車
automobile@	汽車
avenue@	大街,大道
average@	平均;平均數
award@	獎;獎品
ax@	斧
axe@	ax
background@	背景
bacon@	燻豬肉
bacteria@	細菌
badminton@	羽毛球
baggage@	行李
bait@	餌
balance@	平衡
bandage@	繃帶
bang@	猛擊;猛撞
barn@	穀倉;糧倉
barrel@	大桶
bay@	海灣
beast@	野獸
beggar@	乞丐
being@	存在;生存;生命;本質
belly@	腹部
benefit@	利益;好處
berry@	莓果
Bible@	聖經
billion@	(美國)十億
bingo@	賓果遊戲
biscuit@	(美國)小麵包
blame@	責備,指責;責任
blanket@	毯子
blouse@	女裝短上衣
boot@	(長筒)靴
border@	邊緣;邊境
bore@	令人討厭的人(或事物)
brake@	煞車
brass@	黃銅
bravery@	勇敢,勇氣
breast@	乳房
breath@	呼吸,氣息;微風
breeze@	微風
bride@	新娘
brook@	小河,小溪
broom@	掃帚
brow@	眉頭;眉毛
bubble@	水泡,氣泡
bucket@	水桶
bud@	葉芽;花蕾;少女
budget@	預算
buffalo@	水牛
buffet@	自助餐
bulb@	電燈泡
bull@	公牛
bullet@	子彈
bump@	重擊;猛撞
bunch@	串,束
burden@	重擔;負擔
burglar@	夜賊,破門盜竊者
bush@	灌木
buzz@	嗡嗡聲
cabin@	客艙
campus@	校園
cane@	藤條;手杖
canoe@	皮划
canyon@	峽谷
capital@	首都;首府;資本
capture@	佔領;獲得
carpenter@	木工,木匠
carriage@	運輸;運費
cast@	鑄型;模子;投;擲;拋
caterpillar@	履帶牽引車
cattle@	牛;牲口,家畜
centimeter@	公分
ceramics@	(當單數用)製陶業
chain@	鏈條;項圈
challenge@	挑戰;艱鉅的事
champion@	優勝者,冠軍
channel@	管道;頻道
chapter@	(書籍的)章,回
charm@	魅力
chat@	閒談,聊天
cheek@	臉頰;腮幫子
cheer@	喝采;鼓勵
cheese@	起司;乳酪
cherry@	櫻桃
chest@	胸;箱子,盒子
chew@	咀嚼
childhood@	幼時
chill@	寒冷,寒氣
chimney@	煙囪
China@	中國
chip@	晶片;屑片;炸洋芋片;籌碼
choke@	窒息,噎
chop@	肋骨肉
cigarette@	香煙,紙煙
circus@	馬戲團
click@	卡嗒聲
client@	顧客,客戶
clinic@	診所,門診所
clip@	夾;鉗;迴紋針
clue@	線索,跡象,提示
cocktail@	雞尾酒
coconut@	椰子;椰子肉
collar@	衣領
collection@	收集
college@	學院;大學
colony@	殖民地
column@	(報紙的)欄,段;行
comfort@	安逸,舒適
comma@	逗號;停頓
command@	命令
commercial@	商業廣告
committee@	委員會
comparison@	比較,對照
complaint@	抱怨;抗議;怨言
complex@	複合物
concern@	關懷
concert@	音樂會,演奏會
conclusion@	結論;推論
condition@	情況;條件
cone@	圓錐體;圓錐形
connection@	連接;聯絡;銜接
consideration@	考慮
constant@	常數,衡量;不變的事物
continent@	大陸,陸地;大洲
contract@	和約
couch@	長沙發
coward@	懦夫,膽怯者
cradle@	搖籃
crash@	相撞(事故)
crawl@	緩慢的行進
creator@	創造者;創作者
creature@	生物;動物
credit@	信用;貸方
crew@	全體船員
cricket@	蟋蟀
criminal@	罪犯
crown@	王冠
crutch@	丁形柺杖
cupboard@	食櫥;碗櫃
current@	水流;電流
cycle@	週期;循環
dairy@	牛奶店;牛奶及乳品業
dam@	水壩
darling@	心愛的人
dash@	急衝,奔跑;破折號
dealer@	業者;商人;發牌者
decade@	十;十年
deck@	(船的) 艙面,甲板;(紙牌的)一副
deed@	契據;證書
definition@	定義;釋義
delivery@	投遞,傳送
democracy@	民主
deposit@	存款
description@	敘述;形容
designer@	設計者;構思者;時裝設計師
detail@	細節;詳情
devil@	魔鬼,惡魔
dialogue@	對話;交談
diet@	飲食;特種飲食
dime@	一角硬幣
dip@	(價格的)下跌
dirt@	污物;爛泥;灰塵
disappointment@	失望;掃興,沮喪
disc@	圓盤;盤狀物;磁盤;鐵餅
disco@	迪斯科音樂
discotheque@	小舞廳;迪斯科舞廳
discount@	折扣
discovery@	發現
disease@	病,疾病
disk@	圓盤;(電腦)磁盤
dislike@	不喜愛,厭惡
ditch@	溝;壕溝
dive@	俯衝,急劇下降
dock@	碼頭
dodge@	躲閃;託詞
dose@	(藥物等的)一劑,一服
drain@	排水管
drip@	滴下;滴水聲
drunk@	醉漢,酒鬼;酒宴,鬧飲
due@	應得之物;應得權益;應付款;稅金
dump@	垃圾場
dust@	灰塵,塵土
earnings@	收入,工資
echo@	回聲;回響
edition@	版本
editor@	編者;校訂者
elbow@	肘部
election@	選舉
electricity@	電;電流
emergency@	緊急情況
emperor@	皇帝
employee@	受雇者,雇工,雇員
employer@	雇主,雇用者
employment@	雇用;受雇
engagement@	訂婚;諾言;雇用;交戰
engine@	引擎
engineer@	工程師
entry@	進入,入場;入口
envy@	妒忌;羨慕
escape@	逃跑;逃脫
evil@	邪惡,罪惡
excellence@	優秀;傑出;卓越
exchange@	交換;交流;交易所
exhibition@	展覽;展覽會
existence@	存在,實在
exit@	出口
expectation@	期待;預期
expense@	費用;支出;消耗
experiment@	實驗;試驗
export@	出口
expression@	表達;表示
extreme@	極端,末端
fable@	寓言
factor@	因素;要素
faint@	昏厥
fairy@	小妖精;仙女
faith@	信念;信任,完全信賴
fake@	冒牌貨;仿造品
fan@	風扇;扇子;迷友
fanatic@	狂熱者;盲信者
fancy@	愛好;迷戀;想像;怪念頭
fare@	(交通工具的)票價,車(船)費
fashion@	流行式樣;時尚
fate@	命運
faucet@	水龍頭
fax@	傳真通信
feather@	羽毛
feature@	特徵,特色
file@	檔案,案卷
firework@	煙火
fist@	拳;掌握;支配
flame@	火焰;火舌
flavor@	味,味道
flea@	跳蚤
flesh@	肉,肌肉
float@	漂游物;木筏
flock@	(飛禽,牲畜等的)群;人群,群眾
fold@	摺疊
folk@	人們
follower@	追隨者;信徒
forehead@	額,前額
fortune@	財產,財富;巨款
fountain@	泉水;噴泉;水源
freeze@	結冰;凝固;(物價,工資等的)凍結
friendship@	友誼
fry@	炸薯條
fund@	資金,基金
fur@	軟毛;毛皮製品
furniture@	傢俱
gallon@	加侖
gamble@	賭博;打賭
gang@	一幫,一群;惡少幫
gap@	裂口,缺口
garlic@	大蒜;蒜頭
gas@	瓦斯;汽油
gasoline@	汽油
gesture@	姿勢;表示
glance@	一瞥;掃視
glory@	光榮,榮譽
glow@	灼熱;光輝
gossip@	閒話,聊天;流言蜚語
governor@	州長
gown@	(婦女穿的)長禮服;晨衣,睡袍
grab@	攫取,霸佔
graduate@	大學畢業生
grain@	穀物;(砂,鹽等的)粒,細粒
gram@	公克
grasp@	抓,緊握;抱
grasshopper@	蚱蜢
greenhouse@	溫室,暖房
grin@	露齒的笑
grocery@	食品雜貨; 食品雜貨店
guardian@	保護者,守護者;管理員
guidance@	指導;引導;領導
gum@	口香糖
gym@	體育館;體育;體操
gymnasium@	體育館;健身房
hairdresser@	美髮師
hallway@	玄關;門廳,走
handful@	少數,少量
harbor@	港灣,海港
harm@	損傷,傷害;危害
harvest@	收穫
hatch@	(船的)艙口
hawk@	鷹,隼
hay@	(做飼料用的)乾草
headline@	(報紙等的)標題
headquarters@	總部,總公司,總局
heap@	(一)堆,堆積
heaven@	天國;上帝
heel@	腳後跟,踵
hell@	地獄,冥府
helmet@	盔;頭盔;鋼盔;帽盔;安全帽
hike@	徒步旅行
hint@	暗示
historian@	歷史學家
hive@	蜂房;蜂巢;熱鬧的場所
hollow@	洞,穴;坑
hometown@	故鄉;家鄉
honesty@	誠實
honor@	榮譽;名譽
horn@	角;觸角;喇叭
horror@	恐怖,震驚,毛骨悚然
housekeeper@	女管家
hug@	緊抱;擁抱
humankind@	人類
hush@	靜寂,沈默
hut@	小屋;臨時營房
ideal@	理想
identity@	身分
ignorance@	無知,不學無術;愚昧
image@	肖像影像
imagination@	想像力;創造力
import@	進口商品
individual@	個人;個體
inferior@	次品
injury@	傷害
inn@	小旅館,客棧
inspector@	檢查員;視察員;督察員
instruction@	教學,講授
introduction@	介紹;正式引見
inventor@	發明家
ivory@	象牙
jail@	監獄;拘留所
jar@	罐,罈
jaw@	頜;顎
jelly@	果凍;果醬
jet@	噴射;噴出物;噴射機
jewel@	寶石
jewelry@	(總稱)珠寶;首飾
journal@	日報;雜誌;期刊;日誌
journey@	旅行
jungle@	(熱帶)叢林,密林
junk@	廢棄的舊物
justice@	正義;公平
kangaroo@	袋鼠
kettle@	水壺
keyboard@	鍵盤
kidney@	腎臟
kilogram@	公斤
kilometer@	公里
kit@	成套工具;配套元件
km@	kilometer
knight@	騎士,武士;護衛者
knit@	編織衣物
knob@	球形突出物
knot@	花結;蝴蝶結
label@	貼紙;標籤;商標
lace@	鞋帶;帶子;花邊
ladder@	梯子
laughter@	笑;笑聲
laundry@	洗衣店;送洗的衣服
lawn@	草坪,草地
leak@	(水,瓦斯等的)漏出;漏電
leap@	跳,跳躍
leather@	皮革
leisure@	閒暇,空暇時間
lens@	透鏡;鏡片
liar@	說謊的人
liberty@	自由;自由權
librarian@	圖書館員
lifeboat@	救生艇
lifeguard@	救生員
lifetime@	一生,終身
lighthouse@	燈塔
limb@	肢;臂
linen@	亞麻布製品(如床單,桌巾,內衣等)
lipstick@	口紅
litter@	廢棄物,零亂之物
liver@	肝臟
