cap@	給...戴帽;加蓋於
care@	關心;照顧
carry@	提;搬運
case@	把...裝入箱(或容器)中
catch@	接(球);捕獲
cause@	導致,使發生,引起
center@	集中;居中
chair@	主持(會議);任(會議的)主席
chance@	冒...的險;賭(錢); 碰巧
chart@	繪製...的圖表;詳細計劃
chase@	追
check@	檢查
class@	把...分類;把...分等級
clean@	打掃
clear@	使乾淨;收拾;交換票據
climb@	爬;攀登
close@	關上
cloud@	陰雲密佈;變暗;變模糊;變混濁
coat@	塗在...上;給...穿上外套
color@	著色;渲染;文飾;歪曲;影響
come@	到來
continue@	繼續
cook@	煮
cool@	使涼快;使冷卻
correct@	改正;糾正
cost@	花費
count@	計算;數
course@	(用獵犬)追獵;追逐
cover@	蓋住
cry@	哭叫
cup@	使(手掌)成杯狀;把...放入杯內
cut@	切割;剪
dance@	跳舞
darken@	使變暗;變黑
date@	約會
deal@	處理;對付;對待[(+with)]
decide@	決定
die@	死
dig@	挖掘
direct@	指引
dirty@	弄髒; 變髒
discover@	發現
dish@	盛...於盤中
do@	做
down@	擊倒
draw@	畫;繪製;描寫
dream@	做(夢);想像
drink@	喝
drive@	開車
dry@	曬乾;風乾
duck@	躲避;迴避
ease@	減輕
eat@	吃
edge@	使鋒利;使漸進
end@	結束
enter@	輸入;進入
equal@	等於
even@	使平坦;弄平;使相等
examine@	檢查;測驗
except@	把...除外;反對
eye@	看;注視;審視
face@	面向;正對;正視;朝;向
fall@	掉下
fan@	扇;煽動;激起
farm@	耕作;養殖;經營農場;從事畜牧業
father@	做...的父親; 創始;創立
fear@	畏懼
feed@	吃;餵養
feel@	感覺
fight@	打架;作戰
fill@	充滿;填充
find@	找到
fine@	使純;澄清;使精細
finger@	撥弄;指出;告密;告發
finish@	完成
fire@	解雇,開除;點燃; 開火;射擊
fish@	釣魚
floor@	在...鋪設地板;使大為震驚
flower@	開花;發育,成熟;繁榮
fly@	飛
fog@	以霧籠罩;使困惑;使模糊
follow@	遵循;跟隨
foot@	支付(帳單或費用);合計為,總計
force@	強迫
forget@	忘記
fork@	分歧,分叉
free@	使自由;解放;使解脫
front@	向前;在前面;面對
fruit@	結果實; 使結果實
garden@	從事園藝,在園中種植;
gas@	放出氣體;加油;空談;吹牛
get@	得到;拿到
give@	給
go@	去;走
gray@	使成灰色(或灰白)
green@	使成為綠色
grey@	使成灰色
ground@	使擱淺;使停飛;依靠,根據,基於
group@	把...分組(或歸類)
grow@	種植;成長
guess@	猜
guest@	款待,招待
guide@	引導
gun@	用槍射擊
hand@	面交,給,傳遞
happen@	發生
hate@	憎恨
have@	有
head@	率領;出發,駛往
hear@	聽見
heat@	把...加熱;使暖;使激動;刺激
help@	幫忙
hit@	打;擊
hold@	拿著
hole@	鑿洞於,穿孔於;進入洞中
home@	回家;為...提供住處
hope@	希望
house@	給...房子住
hurt@	傷害;使疼痛
inch@	使緩慢地移動
interest@	使發生興趣
iron@	熨燙
is@	是,在; be 動詞第三人稱,單數,現在式
join@	加入
joke@	開玩笑
jump@	跳躍
keep@	保留;保持
key@	鎖上;插上;為...調音;用鍵盤輸入
kick@	踢
kid@	戲弄
kill@	殺
kiss@	親吻
knee@	用膝蓋碰(撞)
knife@	(用刀)切;戮,刺
know@	知道
lack@	缺乏
lamb@	產羔羊
land@	登陸
last@	持續
laugh@	笑
lay@	置放;產卵
lead@	引導
leaf@	匆匆翻閱; 生葉片
learn@	學習
leave@	離開;丟下
let@	讓
lie@	說謊;躺
lift@	舉起
light@	點(火);點燃;照亮
like@	喜歡
line@	排隊
list@	列成表
listen@	傾聽
live@	居住
long@	長久地;始終; 渴望
look@	看
love@	愛好,喜歡
lunch@	吃午餐
machine@	用機器做
mail@	寄信
make@	製造; 使得
man@	給...配置人員
map@	繪製...的地圖;詳細計劃
market@	(在市場上)銷售
marry@	結婚
master@	精通
matter@	有關係,要緊
mean@	意指
meet@	遇見
middle@	放在中間;對摺
milk@	擠(奶);榨取;偷聽電訊
mind@	介意
miss@	想念;惦記;未達到
mistake@	弄錯,誤解;弄錯,搞錯
mother@	生下;產生出
mouth@	誇大地說話
move@	移動
name@	給...取名;列舉
near@	近,接近;幾乎,差不多
neck@	摟著脖子親吻;變細;變狹窄
need@	需要
nose@	探問,探著;引導;嗅,聞
note@	注意;記下
notice@	注意到;通知
number@	編號,總數達到,共計
nurse@	看護,護理;給...餵奶;培育;當奶媽
O.K.@	尚可;挺好;批准
oil@	給...加潤滑油;賄賂
OK@	尚可;挺好;批准
okay@	對,很好地;批准,認可
open@	打開
order@	點菜;訂購
out@	出現;問世;顯露
own@	擁有
paint@	畫圖;油漆
pair@	成對,配對
paper@	用紙包;掩蓋,粉飾
park@	停放車輛; 放置
part@	使分開,使分離;斷裂;告別
party@	開派對;參加派對
pass@	及格;經過;超過;傳遞
pay@	付錢
pen@	寫;寫作;囚禁
pencil@	草擬,起草
people@	使人住在,居住於
pet@	把...當作寵兒;寵愛;撫弄;生氣
picture@	畫,拍攝;描述
piece@	拼湊;拼合;修理;修補
pig@	生小豬;像豬一樣過活
place@	放置,安置;任命
plan@	計劃
plant@	栽種;播種
play@	玩
please@	請;取悅
pocket@	侵吞;擊(球)落袋;忍受
point@	瞄準;指出;強調;對準
police@	管理,監督
pool@	合辦,聯營
position@	把...放在適當位置
power@	給...提供動力; 快速前進
practice@	練習;訓練
prepare@	準備
price@	給...定價
print@	印刷;用印刷體寫
prove@	證明,證實
pull@	拉
push@	推開
put@	放置
question@	詢問
quiet@	使安靜;撫慰,安慰
race@	與...賽跑
radio@	用無線電傳送
rain@	下雨
raise@	舉起;提高
reach@	到;伸出
read@	閱讀
ready@	預先,事先;使準備好
reason@	推論,推理
receive@	收到
remember@	記得
report@	報告;報導
rest@	休息
return@	回;還
ride@	騎;乘
ring@	(鐘,鈴等)鳴,響
rise@	起身;升起
roll@	捲;滾
roof@	給...蓋屋頂,覆蓋
room@	居住; 為...提供住處
root@	使生根;使紮根
rope@	捆,紮,縛,綁
round@	變圓;發胖;兜圈子,環行
row@	划船
rub@	磨擦
rule@	統治;裁決
run@	跑
sail@	航行
salt@	給...加鹽;用鹽醃
sand@	磨光;以沙堵塞
